image,plate,bbox
xemay775.jpg,60-89,"[173, 93, 252, 163]"
xemay795.jpg,9102,"[142, 148, 242, 228]"
xemay805.jpg,139.38,"[172, 113, 269, 198]"
xemay817.jpg,54-T2,"[155, 38, 256, 125]"
xemay847.jpg,59.V2,"[185, 71, 285, 159]"
xemay879.jpg,6177,"[183, 112, 262, 178]"
xemay887.jpg,59-W143,"[167, 86, 276, 178]"
xemay91.jpg,81846,"[190, 87, 283, 168]"
xemay939.jpg,11557,"[218, 68, 304, 147]"
xemay965.jpg,59-P1,"[183, 105, 287, 195]"
xemay987.jpg,59-M1,"[257, 113, 366, 212]"
xemay997.jpg,435.H1,"[169, 63, 261, 139]"
xemayBigPlate107.jpg,0735,"[204, 201, 336, 306]"
xemayBigPlate11.jpg,65-X4,"[214, 203, 346, 302]"
xemayBigPlate133.jpg,053.83,"[227, 269, 371, 376]"
xemayBigPlate193.jpg,1990,"[133, 197, 348, 354]"
xemayBigPlate211.jpg,65-R1,"[152, 147, 382, 327]"
xemayBigPlate33.jpg,83-H2,"[182, 227, 323, 329]"
xemayBigPlate55.jpg,66-H1,"[285, 259, 438, 362]"
xemayBigPlate83.jpg,092.31,"[173, 223, 326, 336]"
